query,issue,category,query_preprocessed,vocab
immigrantendochter,integratie,expanded,immigrantendochter,True
immigrantenland,integratie,expanded,immigrantenland,True
immigrantenprobleem,integratie,expanded,immigrantenprobleem,True
immigrantenouders,integratie,expanded,immigrantenouders,True
immigrantenbestaan,integratie,expanded,immigrantenbestaan,True
immigrantenbeleid,integratie,expanded,immigrantenbeleid,True
immigrantenvrouwen,integratie,expanded,immigrantenvrouwen,True
immigrantenjongeren,integratie,expanded,immigrantenjongeren,True
immigrantenroman,integratie,expanded,immigrantenroman,True
immigrantenorganisaties,integratie,expanded,immigrantenorganisaties,True
immigrantenzonen,integratie,expanded,immigrantenzonen,True
immigrantenbuurt,integratie,expanded,immigrantenbuurt,True
immigrantenbevolking,integratie,expanded,immigrantenbevolking,True
immigrantenstromen,integratie,expanded,immigrantenstromen,True
immigrantenproblematiek,integratie,expanded,immigrantenproblematiek,True
immigrantenkerken,integratie,expanded,immigrantenkerken,True
immigrantensentiment,integratie,expanded,immigrantensentiment,True
immigrantenbuurten,integratie,expanded,immigrantenbuurten,True
immigrantenwet,integratie,expanded,immigrantenwet,True
immigrantenkamp,integratie,expanded,immigrantenkamp,True
immigrantenvraagstuk,integratie,expanded,immigrantenvraagstuk,True
immigrantenorganisatie,integratie,expanded,immigrantenorganisatie,True
immigrantenliteratuur,integratie,expanded,immigrantenliteratuur,True
immigrantenachtergrond,integratie,expanded,immigrantenachtergrond,True
immigrantenleerlingen,integratie,expanded,immigrantenleerlingen,True
immigrantenmilieu,integratie,expanded,immigrantenmilieu,True
immigrantengolf,integratie,expanded,immigrantengolf,True
immigrantenverhaal,integratie,expanded,immigrantenverhaal,True
immigrantenpaar,integratie,expanded,immigrantenpaar,True
immigrantes,integratie,expanded,immigrantes,True
immigrantenmeisje,integratie,expanded,immigrantenmeisje,True
immigrantencultuur,integratie,expanded,immigrantencultuur,True
immigrantenpopulatie,integratie,expanded,immigrantenpopulatie,True
immigrantentalen,integratie,expanded,immigrantentalen,True
immigrantenculturen,integratie,expanded,immigrantenculturen,True
immigrantenjeugd,integratie,expanded,immigrantenjeugd,True
immigrantenechtpaar,integratie,expanded,immigrantenechtpaar,True
immigrantenleven,integratie,expanded,immigrantenleven,True
immigrantenkringen,integratie,expanded,immigrantenkringen,True
immigrantenfilm,integratie,expanded,immigrantenfilm,True
immigrantenvereniging,integratie,expanded,immigrantenvereniging,True
immigrantenhaat,integratie,expanded,immigrantenhaat,True
immigrantenmuziek,integratie,expanded,immigrantenmuziek,True
immigrantennatie,integratie,expanded,immigrantennatie,True
immigrantenarbeiders,integratie,expanded,immigrantenarbeiders,True
immigrantenlanden,integratie,expanded,immigrantenlanden,True
immigrantensamenleving,integratie,expanded,immigrantensamenleving,True
immigrantenjongetje,integratie,expanded,immigrantenjongetje,True
immigrantengroeperingen,integratie,expanded,immigrantengroeperingen,True
immigrantenkerk,integratie,expanded,immigrantenkerk,True
immigrantenproject,integratie,expanded,immigrantenproject,True
immigrantengetto,integratie,expanded,immigrantengetto,True
immigrantenpartijen,integratie,expanded,immigrantenpartijen,True
immigrantenstop,integratie,expanded,immigrantenstop,True
immigrantenverhalen,integratie,expanded,immigrantenverhalen,True
immigrantenvisum,integratie,expanded,immigrantenvisum,True
immigrantensteden,integratie,expanded,immigrantensteden,True
immigrantengeschiedenis,integratie,expanded,immigrantengeschiedenis,True
immigrantengeslacht,integratie,expanded,immigrantengeslacht,True
immigrantenpolitiek,integratie,expanded,immigrantenpolitiek,True
immigrantenstel,integratie,expanded,immigrantenstel,True
immigrantengevoel,integratie,expanded,immigrantengevoel,True
immigrantenbeweging,integratie,expanded,immigrantenbeweging,True
immigrantenschrijvers,integratie,expanded,immigrantenschrijvers,True
immigrantenmeisjes,integratie,expanded,immigrantenmeisjes,True
immigrantenondernemers,integratie,expanded,immigrantenondernemers,True
immigrantenboot,integratie,expanded,immigrantenboot,True
immigrantenervaring,integratie,expanded,immigrantenervaring,True
immigrantenkaravaan,integratie,expanded,immigrantenkaravaan,True
immigrantenretoriek,integratie,expanded,immigrantenretoriek,True
immigrantje,integratie,expanded,immigrantje,True
immigrant*,integratie,wildcard,immigrant,True
immigratie,integratie,expanded,immigratie,True
immigratiebeleid,integratie,expanded,immigratiebeleid,True
immigratiedienst,integratie,expanded,immigratiedienst,True
immigratieland,integratie,expanded,immigratieland,True
immigratiewet,integratie,expanded,immigratiewet,True
immigratiepartij,integratie,expanded,immigratiepartij,True
immigratiepolitiek,integratie,expanded,immigratiepolitiek,True
immigratiestop,integratie,expanded,immigratiestop,True
immigratieregels,integratie,expanded,immigratieregels,True
immigratiewetgeving,integratie,expanded,immigratiewetgeving,True
immigratiewetten,integratie,expanded,immigratiewetten,True
immigratiegolf,integratie,expanded,immigratiegolf,True
immigratielanden,integratie,expanded,immigratielanden,True
immigratiedebat,integratie,expanded,immigratiedebat,True
immigratiestroom,integratie,expanded,immigratiestroom,True
immigratiezaken,integratie,expanded,immigratiezaken,True
immigratiestromen,integratie,expanded,immigratiestromen,True
immigratievraagstuk,integratie,expanded,immigratievraagstuk,True
immigratieprobleem,integratie,expanded,immigratieprobleem,True
immigratiediensten,integratie,expanded,immigratiediensten,True
immigratiesysteem,integratie,expanded,immigratiesysteem,True
immigratieproblematiek,integratie,expanded,immigratieproblematiek,True
immigratierecht,integratie,expanded,immigratierecht,True
immigratiesamenleving,integratie,expanded,immigratiesamenleving,True
immigratiepartijen,integratie,expanded,immigratiepartijen,True
immigratiebeperking,integratie,expanded,immigratiebeperking,True
immigratiehervorming,integratie,expanded,immigratiehervorming,True
immigratieproblemen,integratie,expanded,immigratieproblemen,True
immigratiecijfers,integratie,expanded,immigratiecijfers,True
immigratiequota,integratie,expanded,immigratiequota,True
immigratiegolven,integratie,expanded,immigratiegolven,True
immigratiepolitie,integratie,expanded,immigratiepolitie,True
immigratieen,integratie,expanded,immigratieen,True
immigratieplannen,integratie,expanded,immigratieplannen,True
immigratieplan,integratie,expanded,immigratieplan,True
immigratiegebied,integratie,expanded,immigratiegebied,True
immigratiebeperkingen,integratie,expanded,immigratiebeperkingen,True
immigratieambtenaren,integratie,expanded,immigratieambtenaren,True
immigratieminister,integratie,expanded,immigratieminister,True
immigratiestandpunt,integratie,expanded,immigratiestandpunt,True
immigratiekwestie,integratie,expanded,immigratiekwestie,True
immigratiestandpunten,integratie,expanded,immigratiestandpunten,True
immigratiekantoor,integratie,expanded,immigratiekantoor,True
immigratieretoriek,integratie,expanded,immigratieretoriek,True
immigratiecrisis,integratie,expanded,immigratiecrisis,True
immigratieautoriteiten,integratie,expanded,immigratieautoriteiten,True
immigratiegeschiedenis,integratie,expanded,immigratiegeschiedenis,True
immigratiemaatregelen,integratie,expanded,immigratiemaatregelen,True
immigratiepapieren,integratie,expanded,immigratiepapieren,True
immigratieverbod,integratie,expanded,immigratieverbod,True
immigratiedruk,integratie,expanded,immigratiedruk,True
immigratieachtergrond,integratie,expanded,immigratieachtergrond,True
immigratieadvocaat,integratie,expanded,immigratieadvocaat,True
immigratiebureau,integratie,expanded,immigratiebureau,True
immigratiecentrum,integratie,expanded,immigratiecentrum,True
immigratieprocedure,integratie,expanded,immigratieprocedure,True
immigratiebeperkende,integratie,expanded,immigratiebeperkende,True
immigratiestatus,integratie,expanded,immigratiestatus,True
immigratieparagraaf,integratie,expanded,immigratieparagraaf,True
immigratiestelsel,integratie,expanded,immigratiestelsel,True
immigratierechter,integratie,expanded,immigratierechter,True
immigratiebeweging,integratie,expanded,immigratiebeweging,True
immigratieprogramma,integratie,expanded,immigratieprogramma,True
immigratieprocedures,integratie,expanded,immigratieprocedures,True
immigratieambtenaar,integratie,expanded,immigratieambtenaar,True
immigratiefunctionarissen,integratie,expanded,immigratiefunctionarissen,True
immigratieramp,integratie,expanded,immigratieramp,True
immigratiebeambten,integratie,expanded,immigratiebeambten,True
immigratiedossier,integratie,expanded,immigratiedossier,True
immigratiemuseum,integratie,expanded,immigratiemuseum,True
immigratiepact,integratie,expanded,immigratiepact,True
immigratievraagstukken,integratie,expanded,immigratievraagstukken,True
immigratiecijfer,integratie,expanded,immigratiecijfer,True
immigratiehervormingen,integratie,expanded,immigratiehervormingen,True
immigratiekwesties,integratie,expanded,immigratiekwesties,True
immigratieban,integratie,expanded,immigratieban,True
immigratieagenda,integratie,expanded,immigratieagenda,True
immigratiesentiment,integratie,expanded,immigratiesentiment,True
immigratiekoers,integratie,expanded,immigratiekoers,True
immigratiequotum,integratie,expanded,immigratiequotum,True
immigratiethema,integratie,expanded,immigratiethema,True
immigratieoverschot,integratie,expanded,immigratieoverschot,True
immigratierechters,integratie,expanded,immigratierechters,True
immigratiesentimenten,integratie,expanded,immigratiesentimenten,True
immigratierecord,integratie,expanded,immigratierecord,True
immigratiesaldo,integratie,expanded,immigratiesaldo,True
immigratiecontinent,integratie,expanded,immigratiecontinent,True
immigratietaboe,integratie,expanded,immigratietaboe,True
immigratieboodschap,integratie,expanded,immigratieboodschap,True
immigratiecontrole,integratie,expanded,immigratiecontrole,True
immigratiediscussie,integratie,expanded,immigratiediscussie,True
immigratieakkoord,integratie,expanded,immigratieakkoord,True
immigratiedocumenten,integratie,expanded,immigratiedocumenten,True
immigratiecampagne,integratie,expanded,immigratiecampagne,True
immigratiecommissie,integratie,expanded,immigratiecommissie,True
immigratierechtbank,integratie,expanded,immigratierechtbank,True
immigratieformulieren,integratie,expanded,immigratieformulieren,True
immigratiespecialist,integratie,expanded,immigratiespecialist,True
immigratieregelingen,integratie,expanded,immigratieregelingen,True
immigratiefunctionaris,integratie,expanded,immigratiefunctionaris,True
immigratieroman,integratie,expanded,immigratieroman,True
immigratiemodel,integratie,expanded,immigratiemodel,True
immigratiebewegingen,integratie,expanded,immigratiebewegingen,True
immigratiemedewerkers,integratie,expanded,immigratiemedewerkers,True
immigratiestaat,integratie,expanded,immigratiestaat,True
immigratiestad,integratie,expanded,immigratiestad,True
immigratieverhaal,integratie,expanded,immigratieverhaal,True
immigratiedeskundigen,integratie,expanded,immigratiedeskundigen,True
immigratieproces,integratie,expanded,immigratieproces,True
immigratiebeambte,integratie,expanded,immigratiebeambte,True
immigratievoorstellen,integratie,expanded,immigratievoorstellen,True
immigratieregime,integratie,expanded,immigratieregime,True
immigratiewoordvoerder,integratie,expanded,immigratiewoordvoerder,True
immigratielek,integratie,expanded,immigratielek,True
immigratiekosten,integratie,expanded,immigratiekosten,True
immigratiedeskundige,integratie,expanded,immigratiedeskundige,True
immigratiestemming,integratie,expanded,immigratiestemming,True
immigratiefraude,integratie,expanded,immigratiefraude,True
immigratiekantoren,integratie,expanded,immigratiekantoren,True
immigratiewijken,integratie,expanded,immigratiewijken,True
immigratiemaatregel,integratie,expanded,immigratiemaatregel,True
immigratieniveau,integratie,expanded,immigratieniveau,True
immigratieterrein,integratie,expanded,immigratieterrein,True
immigratietraditie,integratie,expanded,immigratietraditie,True
immigratiecentra,integratie,expanded,immigratiecentra,True
immigratiegeluid,integratie,expanded,immigratiegeluid,True
immigratielijn,integratie,expanded,immigratielijn,True
immigratiemonument,integratie,expanded,immigratiemonument,True
immigratietrauma,integratie,expanded,immigratietrauma,True
immigratieregeling,integratie,expanded,immigratieregeling,True
immigratieadvocaten,integratie,expanded,immigratieadvocaten,True
immigratiegroepen,integratie,expanded,immigratiegroepen,True
immigratiestudies,integratie,expanded,immigratiestudies,True
immigratieagenten,integratie,expanded,immigratieagenten,True
immigratiedecreet,integratie,expanded,immigratiedecreet,True
immigratiegroep,integratie,expanded,immigratiegroep,True
immigratiemedewerker,integratie,expanded,immigratiemedewerker,True
immigratierechtbanken,integratie,expanded,immigratierechtbanken,True
immigratieadviseur,integratie,expanded,immigratieadviseur,True
immigratiepoliticus,integratie,expanded,immigratiepoliticus,True
immigratiekandidaat,integratie,expanded,immigratiekandidaat,True
immigratieformulier,integratie,expanded,immigratieformulier,True
immigratiecontroles,integratie,expanded,immigratiecontroles,True
immigratienota,integratie,expanded,immigratienota,True
immigratiekamp,integratie,expanded,immigratiekamp,True
immigratietop,integratie,expanded,immigratietop,True
immigratiesamenlevingen,integratie,expanded,immigratiesamenlevingen,True
immigratievoorstel,integratie,expanded,immigratievoorstel,True
immigratiesluizen,integratie,expanded,immigratiesluizen,True
immigratiespeech,integratie,expanded,immigratiespeech,True
immigratiekaart,integratie,expanded,immigratiekaart,True
immigratietaal,integratie,expanded,immigratietaal,True
immigratiedrama,integratie,expanded,immigratiedrama,True
immigratiemogelijkheden,integratie,expanded,immigratiemogelijkheden,True
immigratiekritiek,integratie,expanded,immigratiekritiek,True
immigratieperikelen,integratie,expanded,immigratieperikelen,True
immigratieman,integratie,expanded,immigratieman,True
immigratiekritische,integratie,expanded,immigratiekritische,True
immigratieverleden,integratie,expanded,immigratieverleden,True
immigratieloket,integratie,expanded,immigratieloket,True
immigratiemachine,integratie,expanded,immigratiemachine,True
immigratieportefeuille,integratie,expanded,immigratieportefeuille,True
immigratiewebsite,integratie,expanded,immigratiewebsite,True
immigratieverzoeken,integratie,expanded,immigratieverzoeken,True
immigratieorganisaties,integratie,expanded,immigratieorganisaties,True
immigratiedossiers,integratie,expanded,immigratiedossiers,True
immigratietribunaal,integratie,expanded,immigratietribunaal,True
immigratierecords,integratie,expanded,immigratierecords,True
immigratieofficieren,integratie,expanded,immigratieofficieren,True
immigratiebepalingen,integratie,expanded,immigratiebepalingen,True
immigratielimiet,integratie,expanded,immigratielimiet,True
immigratievlak,integratie,expanded,immigratievlak,True
immigratiepolitici,integratie,expanded,immigratiepolitici,True
immigratie*,integratie,wildcard,immigratie,True
inburgering,integratie,expanded,inburgering,True
inburgeringscursus,integratie,expanded,inburgeringscursus,True
inburgeringsexamen,integratie,expanded,inburgeringsexamen,True
inburgeringscursussen,integratie,expanded,inburgeringscursussen,True
inburgeringsplicht,integratie,expanded,inburgeringsplicht,True
inburgeringswet,integratie,expanded,inburgeringswet,True
inburgeringsbeleid,integratie,expanded,inburgeringsbeleid,True
inburgeringstoets,integratie,expanded,inburgeringstoets,True
inburgeringstraject,integratie,expanded,inburgeringstraject,True
inburgeringsprogramma,integratie,expanded,inburgeringsprogramma,True
inburgeringcursus,integratie,expanded,inburgeringcursus,True
inburgeringsstelsel,integratie,expanded,inburgeringsstelsel,True
inburgeringsexamens,integratie,expanded,inburgeringsexamens,True
inburgeringseisen,integratie,expanded,inburgeringseisen,True
inburgeringstrajecten,integratie,expanded,inburgeringstrajecten,True
inburgeringcursussen,integratie,expanded,inburgeringcursussen,True
inburgeringslessen,integratie,expanded,inburgeringslessen,True
inburgerings,integratie,expanded,inburgerings,True
inburgeringsplichtigen,integratie,expanded,inburgeringsplichtigen,True
inburgeringstest,integratie,expanded,inburgeringstest,True
inburgeringsproces,integratie,expanded,inburgeringsproces,True
inburgeringsplannen,integratie,expanded,inburgeringsplannen,True
inburgeringsplichtig,integratie,expanded,inburgeringsplichtig,True
inburgeringsdiploma,integratie,expanded,inburgeringsdiploma,True
inburgeringexamen,integratie,expanded,inburgeringexamen,True
inburgeringsloket,integratie,expanded,inburgeringsloket,True
inburgeringscontract,integratie,expanded,inburgeringscontract,True
inburgeringsonderwijs,integratie,expanded,inburgeringsonderwijs,True
inburgeringsles,integratie,expanded,inburgeringsles,True
inburgeringsleed,integratie,expanded,inburgeringsleed,True
inburgeringsplichtige,integratie,expanded,inburgeringsplichtige,True
inburgeringsplan,integratie,expanded,inburgeringsplan,True
inburgeringscertificaat,integratie,expanded,inburgeringscertificaat,True
inburgeringsklassen,integratie,expanded,inburgeringsklassen,True
inburgeringsbudget,integratie,expanded,inburgeringsbudget,True
inburgeringstermijn,integratie,expanded,inburgeringstermijn,True
inburgeringsmarkt,integratie,expanded,inburgeringsmarkt,True
inburgeringsceremonie,integratie,expanded,inburgeringsceremonie,True
inburgeringsproblemen,integratie,expanded,inburgeringsproblemen,True
inburgeringsgeld,integratie,expanded,inburgeringsgeld,True
inburgeringsregels,integratie,expanded,inburgeringsregels,True
inburgeringscursisten,integratie,expanded,inburgeringscursisten,True
inburgeringscontracten,integratie,expanded,inburgeringscontracten,True
inburgeringsproject,integratie,expanded,inburgeringsproject,True
inburgeringsverplichting,integratie,expanded,inburgeringsverplichting,True
inburgeringskosten,integratie,expanded,inburgeringskosten,True
inburgeringseis,integratie,expanded,inburgeringseis,True
inburgeringstoetsen,integratie,expanded,inburgeringstoetsen,True
inburgeringsbureaus,integratie,expanded,inburgeringsbureaus,True
inburgeringssysteem,integratie,expanded,inburgeringssysteem,True
inburgeringsniveau,integratie,expanded,inburgeringsniveau,True
inburgeringsfilm,integratie,expanded,inburgeringsfilm,True
inburgeringsklas,integratie,expanded,inburgeringsklas,True
inburgeringsbehoeftigen,integratie,expanded,inburgeringsbehoeftigen,True
inburgeringprogramma,integratie,expanded,inburgeringprogramma,True
inburgeringsdocenten,integratie,expanded,inburgeringsdocenten,True
inburgeringspakket,integratie,expanded,inburgeringspakket,True
inburgeringsonderzoek,integratie,expanded,inburgeringsonderzoek,True
inburgeringsdocent,integratie,expanded,inburgeringsdocent,True
inburgeringspraktijk,integratie,expanded,inburgeringspraktijk,True
inburgeringscurssussen,integratie,expanded,inburgeringscurssussen,True
inburgeringsprocedure,integratie,expanded,inburgeringsprocedure,True
inburgeringsloketten,integratie,expanded,inburgeringsloketten,True
inburgeringsprojecten,integratie,expanded,inburgeringsprojecten,True
inburgeringsvoorzieningen,integratie,expanded,inburgeringsvoorzieningen,True
inburgeringsbedrijf,integratie,expanded,inburgeringsbedrijf,True
inburgeringsperiode,integratie,expanded,inburgeringsperiode,True
inburgeringproces,integratie,expanded,inburgeringproces,True
inburgeringsakkoord,integratie,expanded,inburgeringsakkoord,True
inburgeringstelsel,integratie,expanded,inburgeringstelsel,True
inburgeringwet,integratie,expanded,inburgeringwet,True
inburgeringtraject,integratie,expanded,inburgeringtraject,True
inburgeringswetgeving,integratie,expanded,inburgeringswetgeving,True
inburgeringsbureau,integratie,expanded,inburgeringsbureau,True
inburgeringlessen,integratie,expanded,inburgeringlessen,True
inburgeringscurcus,integratie,expanded,inburgeringscurcus,True
inburgeringscertificaten,integratie,expanded,inburgeringscertificaten,True
inburgeringtoets,integratie,expanded,inburgeringtoets,True
inburgeringsprocedures,integratie,expanded,inburgeringsprocedures,True
inburgeringsdebat,integratie,expanded,inburgeringsdebat,True
inburgeringsachterstand,integratie,expanded,inburgeringsachterstand,True
inburgeringplicht,integratie,expanded,inburgeringplicht,True
inburgeringsplichten,integratie,expanded,inburgeringsplichten,True
inburgeringsbedrijven,integratie,expanded,inburgeringsbedrijven,True
inburgeringschaos,integratie,expanded,inburgeringschaos,True
inburgeringsgame,integratie,expanded,inburgeringsgame,True
inburgeringsvignet,integratie,expanded,inburgeringsvignet,True
inburgeringsgegevens,integratie,expanded,inburgeringsgegevens,True
inburgeringsgelden,integratie,expanded,inburgeringsgelden,True
inburgeringsnormen,integratie,expanded,inburgeringsnormen,True
inburgeringsceremonies,integratie,expanded,inburgeringsceremonies,True
inburgeringscoach,integratie,expanded,inburgeringscoach,True
inburgeringspolitiek,integratie,expanded,inburgeringspolitiek,True
inburgeringtest,integratie,expanded,inburgeringtest,True
inburgeringsklasje,integratie,expanded,inburgeringsklasje,True
inburgeringscurssusen,integratie,expanded,inburgeringscurssusen,True
inburgeringsscholen,integratie,expanded,inburgeringsscholen,True
inburgeringsvereiste,integratie,expanded,inburgeringsvereiste,True
inburgeringtrajecten,integratie,expanded,inburgeringtrajecten,True
inburgeringscurussen,integratie,expanded,inburgeringscurussen,True
inburgeringsklasjes,integratie,expanded,inburgeringsklasjes,True
inburgeringsproblematiek,integratie,expanded,inburgeringsproblematiek,True
inburgeringskamp,integratie,expanded,inburgeringskamp,True
inburgeringskandidaten,integratie,expanded,inburgeringskandidaten,True
inburgeringsgroepen,integratie,expanded,inburgeringsgroepen,True
inburgeringdiploma,integratie,expanded,inburgeringdiploma,True
inburgeringsritueel,integratie,expanded,inburgeringsritueel,True
inburgeringsketen,integratie,expanded,inburgeringsketen,True
inburgeringsambtenaar,integratie,expanded,inburgeringsambtenaar,True
inburgeringexamens,integratie,expanded,inburgeringexamens,True
inburgeringsvoorziening,integratie,expanded,inburgeringsvoorziening,True
inburgering*,integratie,wildcard,inburgering,True
marokkaanse,integratie,expanded,marokkaanse,True
marokko,integratie,expanded,marokko,True
marokkanen,integratie,expanded,marokkanen,True
marokkaan,integratie,expanded,marokkaan,True
marokkaans,integratie,expanded,marokkaans,True
marokkaantjes,integratie,expanded,marokkaantjes,True
marokkanenprobleem,integratie,expanded,marokkanenprobleem,True
marokkaantje,integratie,expanded,marokkaantje,True
marokkanendrama,integratie,expanded,marokkanendrama,True
marokkanendebat,integratie,expanded,marokkanendebat,True
marokkanenuitspraak,integratie,expanded,marokkanenuitspraak,True
marokkanengemeenten,integratie,expanded,marokkanengemeenten,True
marokkanenuitspraken,integratie,expanded,marokkanenuitspraken,True
marokkanse,integratie,expanded,marokkanse,True
marokkanenverdelgers,integratie,expanded,marokkanenverdelgers,True
marokkaansen,integratie,expanded,marokkaansen,True
marokkanenproces,integratie,expanded,marokkanenproces,True
marokkanenproblematiek,integratie,expanded,marokkanenproblematiek,True
marokkanenterreur,integratie,expanded,marokkanenterreur,True
marokkanenhaat,integratie,expanded,marokkanenhaat,True
marokkaanser,integratie,expanded,marokkaanser,True
marokkaansnederlandse,integratie,expanded,marokkaansnederlandse,True
marokkanenzaak,integratie,expanded,marokkanenzaak,True
marokkaaanse,integratie,expanded,marokkaaanse,True
marokk,integratie,expanded,marokk,True
marokkanentop,integratie,expanded,marokkanentop,True
marokkanengif,integratie,expanded,marokkanengif,True
marokka,integratie,expanded,marokka,True
marokkonederland,integratie,expanded,marokkonederland,True
marokkanenjacht,integratie,expanded,marokkanenjacht,True
marokkko,integratie,expanded,marokkko,True
marokkanengemeente,integratie,expanded,marokkanengemeente,True
marokkannen,integratie,expanded,marokkannen,True
marokkanengrap,integratie,expanded,marokkanengrap,True
marokkofonds,integratie,expanded,marokkofonds,True
marokkanentafels,integratie,expanded,marokkanentafels,True
marokkanenoproep,integratie,expanded,marokkanenoproep,True
marokkanenstandpunt,integratie,expanded,marokkanenstandpunt,True
marokkanenuitingen,integratie,expanded,marokkanenuitingen,True
marokkostraat,integratie,expanded,marokkostraat,True
marokkkaanse,integratie,expanded,marokkkaanse,True
marokkanenrel,integratie,expanded,marokkanenrel,True
marokkanenaanpak,integratie,expanded,marokkanenaanpak,True
marokkanengeweld,integratie,expanded,marokkanengeweld,True
marokkanentweet,integratie,expanded,marokkanentweet,True
marokkodreef,integratie,expanded,marokkodreef,True
marokkies,integratie,expanded,marokkies,True
marokkanenoffensief,integratie,expanded,marokkanenoffensief,True
marokkanenoverlast,integratie,expanded,marokkanenoverlast,True
marokkanenhater,integratie,expanded,marokkanenhater,True
marokkans,integratie,expanded,marokkans,True
marokkanenkwestie,integratie,expanded,marokkanenkwestie,True
marokk*,integratie,wildcard,marokk,True
migranten,integratie,expanded,migranten,True
migratie,integratie,expanded,migratie,True
migrant,integratie,expanded,migrant,True
migratieachtergrond,integratie,expanded,migratieachtergrond,True
migraine,integratie,expanded,migraine,True
migratiebeleid,integratie,expanded,migratiebeleid,True
migratiestromen,integratie,expanded,migratiestromen,True
migratiecrisis,integratie,expanded,migratiecrisis,True
migrantenkinderen,integratie,expanded,migrantenkinderen,True
migrantenstroom,integratie,expanded,migrantenstroom,True
migratiestroom,integratie,expanded,migratiestroom,True
migrantenkerken,integratie,expanded,migrantenkerken,True
migration,integratie,expanded,migration,True
migrantengroepen,integratie,expanded,migrantengroepen,True
migratiepact,integratie,expanded,migratiepact,True
migratierecht,integratie,expanded,migratierecht,True
migrantenachtergrond,integratie,expanded,migrantenachtergrond,True
migrantenorganisaties,integratie,expanded,migrantenorganisaties,True
migrantenvrouwen,integratie,expanded,migrantenvrouwen,True
migrantenjongeren,integratie,expanded,migrantenjongeren,True
migrantencrisis,integratie,expanded,migrantencrisis,True
migratiepolitiek,integratie,expanded,migratiepolitiek,True
migratiegeschiedenis,integratie,expanded,migratiegeschiedenis,True
migratiedienst,integratie,expanded,migratiedienst,True
migratiesaldo,integratie,expanded,migratiesaldo,True
migrantengemeenschappen,integratie,expanded,migrantengemeenschappen,True
migratievraagstuk,integratie,expanded,migratievraagstuk,True
migratiegolf,integratie,expanded,migratiegolf,True
migratieprobleem,integratie,expanded,migratieprobleem,True
migrantenarbeiders,integratie,expanded,migrantenarbeiders,True
migrantengezinnen,integratie,expanded,migrantengezinnen,True
migratiedebat,integratie,expanded,migratiedebat,True
migrantenkamp,integratie,expanded,migrantenkamp,True
migrantenwijk,integratie,expanded,migrantenwijk,True
migratieproblematiek,integratie,expanded,migratieproblematiek,True
migratietop,integratie,expanded,migratietop,True
migrants,integratie,expanded,migrants,True
migratiedeal,integratie,expanded,migratiedeal,True
migrantenstemrecht,integratie,expanded,migrantenstemrecht,True
migratieroute,integratie,expanded,migratieroute,True
migrantenstromen,integratie,expanded,migrantenstromen,True
migratieroutes,integratie,expanded,migratieroutes,True
migratiedruk,integratie,expanded,migratiedruk,True
migratieproblemen,integratie,expanded,migratieproblemen,True
migrantengemeenschap,integratie,expanded,migrantengemeenschap,True
migraties,integratie,expanded,migraties,True
migraineaanval,integratie,expanded,migraineaanval,True
migrainepati,integratie,expanded,migrainepati,True
migrantenwijken,integratie,expanded,migrantenwijken,True
migrantenwerkers,integratie,expanded,migrantenwerkers,True
migrantenouders,integratie,expanded,migrantenouders,True
migraineaanvallen,integratie,expanded,migraineaanvallen,True
migrantenboot,integratie,expanded,migrantenboot,True
migratiegolven,integratie,expanded,migratiegolven,True
migrantenbeleid,integratie,expanded,migrantenbeleid,True
migrantenfamilies,integratie,expanded,migrantenfamilies,True
migratiecijfers,integratie,expanded,migratiecijfers,True
migrantenboten,integratie,expanded,migrantenboten,True
migratiedeskundige,integratie,expanded,migratiedeskundige,True
migratieregels,integratie,expanded,migratieregels,True
migratiezaken,integratie,expanded,migratiezaken,True
migrantenprobleem,integratie,expanded,migrantenprobleem,True
migratieland,integratie,expanded,migratieland,True
migratieakkoord,integratie,expanded,migratieakkoord,True
migrantenproblematiek,integratie,expanded,migrantenproblematiek,True
migrantengroep,integratie,expanded,migrantengroep,True
migratiebewegingen,integratie,expanded,migratiebewegingen,True
migrantenkerk,integratie,expanded,migrantenkerk,True
migratiepartij,integratie,expanded,migratiepartij,True
migratiestudies,integratie,expanded,migratiestudies,True
migrantenkaravaan,integratie,expanded,migrantenkaravaan,True
migrantenzoon,integratie,expanded,migrantenzoon,True
migrantenschip,integratie,expanded,migrantenschip,True
migrante,integratie,expanded,migrante,True
migrantengezin,integratie,expanded,migrantengezin,True
migratiedossier,integratie,expanded,migratiedossier,True
migratiedeskundigen,integratie,expanded,migratiedeskundigen,True
migratiedeals,integratie,expanded,migratiedeals,True
migrantenkind,integratie,expanded,migrantenkind,True
migratieplan,integratie,expanded,migratieplan,True
migrainepatienten,integratie,expanded,migrainepatienten,True
migrantenorganisatie,integratie,expanded,migrantenorganisatie,True
migrantenkampen,integratie,expanded,migrantenkampen,True
migrantendrama,integratie,expanded,migrantendrama,True
migrantenvraagstuk,integratie,expanded,migrantenvraagstuk,True
migratiepatronen,integratie,expanded,migratiepatronen,True
migratiestop,integratie,expanded,migratiestop,True
migrations,integratie,expanded,migrations,True
migrantenafkomst,integratie,expanded,migrantenafkomst,True
migrantenpartij,integratie,expanded,migrantenpartij,True
migratieplannen,integratie,expanded,migratieplannen,True
migrantenbootjes,integratie,expanded,migrantenbootjes,True
migratiekwestie,integratie,expanded,migratiekwestie,True
migratieagenda,integratie,expanded,migratieagenda,True
migrantenliteratuur,integratie,expanded,migrantenliteratuur,True
