query,issue,category,query_preprocessed,vocab
distributiesignaal,Infrastructuur,expanded,distributiesignaal,True
distributiecare,Infrastructuur,expanded,distributiecare,True
distributiewoningen,Infrastructuur,expanded,distributiewoningen,True
distributiekaart,Infrastructuur,expanded,distributiekaart,True
distributieplekken,Infrastructuur,expanded,distributieplekken,True
distributiestation,Infrastructuur,expanded,distributiestation,True
distributiedirecteur,Infrastructuur,expanded,distributiedirecteur,True
distributiepark,Infrastructuur,expanded,distributiepark,True
distributieleidingen,Infrastructuur,expanded,distributieleidingen,True
distributieterminal,Infrastructuur,expanded,distributieterminal,True
distributiedepots,Infrastructuur,expanded,distributiedepots,True
distributieafspraken,Infrastructuur,expanded,distributieafspraken,True
distributieverbod,Infrastructuur,expanded,distributieverbod,True
distributieplaats,Infrastructuur,expanded,distributieplaats,True
distributievestiging,Infrastructuur,expanded,distributievestiging,True
distributiebureau,Infrastructuur,expanded,distributiebureau,True
distributiemedium,Infrastructuur,expanded,distributiemedium,True
distributiestromen,Infrastructuur,expanded,distributiestromen,True
distributiepost,Infrastructuur,expanded,distributiepost,True
distributieplek,Infrastructuur,expanded,distributieplek,True
distributieondernemingen,Infrastructuur,expanded,distributieondernemingen,True
distributietruck,Infrastructuur,expanded,distributietruck,True
distributieruimten,Infrastructuur,expanded,distributieruimten,True
distributiedag,Infrastructuur,expanded,distributiedag,True
distributieweg,Infrastructuur,expanded,distributieweg,True
distributiecomplex,Infrastructuur,expanded,distributiecomplex,True
distributielocatie,Infrastructuur,expanded,distributielocatie,True
distributieterminals,Infrastructuur,expanded,distributieterminals,True
distributiedozen,Infrastructuur,expanded,distributiedozen,True
distributievervoer,Infrastructuur,expanded,distributievervoer,True
distributielijn,Infrastructuur,expanded,distributielijn,True
distributietijd,Infrastructuur,expanded,distributietijd,True
distributiedeel,Infrastructuur,expanded,distributiedeel,True
distributiecircuit,Infrastructuur,expanded,distributiecircuit,True
distributieloods,Infrastructuur,expanded,distributieloods,True
distributiemagazijn,Infrastructuur,expanded,distributiemagazijn,True
distributieregels,Infrastructuur,expanded,distributieregels,True
distributiegebouwen,Infrastructuur,expanded,distributiegebouwen,True
distributieknelpunten,Infrastructuur,expanded,distributieknelpunten,True
distributielijst,Infrastructuur,expanded,distributielijst,True
distributiepompstation,Infrastructuur,expanded,distributiepompstation,True
distributieregeling,Infrastructuur,expanded,distributieregeling,True
distributietakken,Infrastructuur,expanded,distributietakken,True
distributieloodsen,Infrastructuur,expanded,distributieloodsen,True
distributiefirma,Infrastructuur,expanded,distributiefirma,True
distributiebon,Infrastructuur,expanded,distributiebon,True
distributiestations,Infrastructuur,expanded,distributiestations,True
distributieve,Infrastructuur,expanded,distributieve,True
distributieplaatsen,Infrastructuur,expanded,distributieplaatsen,True
distributielijsten,Infrastructuur,expanded,distributielijsten,True
distributierol,Infrastructuur,expanded,distributierol,True
distributiedochters,Infrastructuur,expanded,distributiedochters,True
distributieafdelingen,Infrastructuur,expanded,distributieafdelingen,True
distributiepraktijken,Infrastructuur,expanded,distributiepraktijken,True
distributieconcepten,Infrastructuur,expanded,distributieconcepten,True
distributiehuis,Infrastructuur,expanded,distributiehuis,True
distributiestamkaart,Infrastructuur,expanded,distributiestamkaart,True
distributiewet,Infrastructuur,expanded,distributiewet,True
distributiespecialisten,Infrastructuur,expanded,distributiespecialisten,True
distributietarieven,Infrastructuur,expanded,distributietarieven,True
distributieleiding,Infrastructuur,expanded,distributieleiding,True
distributietechniek,Infrastructuur,expanded,distributietechniek,True
distributiemacht,Infrastructuur,expanded,distributiemacht,True
distributiewerknemers,Infrastructuur,expanded,distributiewerknemers,True
distributiescenario,Infrastructuur,expanded,distributiescenario,True
distributiewagens,Infrastructuur,expanded,distributiewagens,True
distributie*,Infrastructuur,wildcard,distributie,True
doorvoer,Infrastructuur,original,doorvoer,True
Eurostar,Infrastructuur,original,eurostar,True
files,Infrastructuur,expanded,files,True
file,Infrastructuur,expanded,file,True
filet,Infrastructuur,expanded,filet,True
filemon,Infrastructuur,expanded,filemon,True
filets,Infrastructuur,expanded,filets,True
fileprobleem,Infrastructuur,expanded,fileprobleem,True
fileleed,Infrastructuur,expanded,fileleed,True
filedruk,Infrastructuur,expanded,filedruk,True
fileren,Infrastructuur,expanded,fileren,True
filevorming,Infrastructuur,expanded,filevorming,True
fileert,Infrastructuur,expanded,fileert,True
filezwaarte,Infrastructuur,expanded,filezwaarte,True
filerijden,Infrastructuur,expanded,filerijden,True
filevrije,Infrastructuur,expanded,filevrije,True
fileerde,Infrastructuur,expanded,fileerde,True
fileproblemen,Infrastructuur,expanded,fileproblemen,True
filebestrijding,Infrastructuur,expanded,filebestrijding,True
filefuik,Infrastructuur,expanded,filefuik,True
fileermes,Infrastructuur,expanded,fileermes,True
filevrij,Infrastructuur,expanded,filevrij,True
filelengte,Infrastructuur,expanded,filelengte,True
filemeldingen,Infrastructuur,expanded,filemeldingen,True
filerijders,Infrastructuur,expanded,filerijders,True
fileproblematiek,Infrastructuur,expanded,fileproblematiek,True
filerijder,Infrastructuur,expanded,filerijder,True
fileknelpunten,Infrastructuur,expanded,fileknelpunten,True
fileplan,Infrastructuur,expanded,fileplan,True
filerecord,Infrastructuur,expanded,filerecord,True
fileberichten,Infrastructuur,expanded,fileberichten,True
filegevoelige,Infrastructuur,expanded,filegevoelige,True
